log2FoldChange	ENTREZID	SYMBOL
-0.918331391743292	1295	COL8A1
-1.23172428140893	3480	IGF1R
-1.7916260988892	6383	SDC2
-1.94168045871136	54805	CNNM2
1.67576566525178	5599	MAPK8
-1.01297396489624	55704	CCDC88A
-1.62860823292902	10892	MALT1
1.31042185867496	53407	STX18
2.11013713867889	84141	EVA1A
-0.982066805646992	10057	ABCC5
0.930341409650375	64343	AZI2
-1.50128016108904	775	CACNA1C
1.95208600606126	6776	STAT5A
-1.92998063142378	91947	ARRDC4
3.76233827015852	5366	PMAIP1
-2.2026361822158	27445	PCLO
1.29007152090731	8543	LMO4
-1.56532590305275	6840	SVIL
-1.80144247477232	9697	TRAM2
0.723236455187597	10808	HSPH1
1.08916133246629	84955	NUDCD1
1.04453458205701	7716	VEZF1
1.18310078498026	1654	DDX3X
1.48119789413749	54708	MARCH5
1.7571250090422	23002	DAAM1
0.942125044817289	55701	ARHGEF40
-1.70141232401932	4628	MYH10
1.76534110672895	23452	ANGPTL2
-1.08214340955177	5584	PRKCI
-1.52419851304026	115908	CTHRC1
-0.534878165380375	2058	EPRS
1.73211504408719	1997	ELF1
-1.21700188337209	57205	ATP10D
5.09953847680598	51655	RASD1
6.68832589876075	53405	CLIC5
3.43305693093454	10507	SEMA4D
2.33427601637696	23092	ARHGAP26
1.92276997759167	85463	ZC3H12C
1.0165123867469	91010	FMNL3
0.630295874564316	3716	JAK1
1.68464351568683	57514	ARHGAP31
4.03747953047532	54103	GSAP
1.3532871361306	285761	DCBLD1
0.723649358304555	1004	CDH6
2.89841673937919	2745	GLRX
-0.906738505053007	11034	DSTN
-3.06525620442446	3745	KCNB1
1.19213850938023	148789	B3GALNT2
1.14789681950492	65979	PHACTR4
1.46718320883897	202	AIM1
1.05959593238152	51742	ARID4B
-1.92839195560853	5783	PTPN13
6.28109330933699	9023	CH25H
5.67313393502191	2523	FUT1
1.77612676913621	2115	ETV1
0.843185066364626	51009	DERL2
1.16569605913344	23216	TBC1D1
-0.938048225956594	2241	FER
-0.88431764608102	84925	DIRC2
-0.893878616164808	4854	NOTCH3
6.21147377142777	5696	PSMB8
2.21193284019048	23432	GPR161
-0.716433253581959	5046	PCSK6
3.99397617466035	64127	NOD2
-0.864068855575961	1290	COL5A2
1.03718077158095	4247	MGAT2
1.97653425049024	51170	HSD17B11
-2.23729095729084	6529	SLC6A1
-1.45825876367425	79659	DYNC2H1
5.26974307639552	8911	CACNA1I
-1.66437403387632	9223	MAGI1
1.15819367928327	54880	BCOR
1.28747323493856	55236	UBA6
1.76799847214113	993	CDC25A
0.460245928429333	3326	HSP90AB1
